"","0wk","1wk","2wk","3wk","4wk","5wk","6wk","7wk","8wk","9wk","10wk","11wk","12wk","13wk","14wk","15wk","16wk","17wk","18wk","19wk","20wk","21wk","22wk","23wk","24wk","25wk","26wk","27wk","28wk","29wk","30wk","31wk","32wk","33wk","34wk","35wk","36wk","37wk","38wk","39wk","40wk","41wk","42wk","43wk","44wk","45wk","46wk","47wk","48wk","49wk","50wk","51wk","52wk","53wk"
"10wk",0.579317452436906,0.681047233108956,0.753122847915524,0.808129612188738,0.850586929172195,0.882656877389103,0.906773781301902,0.92442474726241,0.936489616502865,0.943767107775192,0.947121194891608,0.947288026601213,0.944808659623332,0.940120668833417,0.933632392059372,0.925694667678128,0.916578702415476,0.906506187966447,0.895678565219505,0.884269161237616,0.872424497873334,0.860276655424247,0.847948507188567,0.835551072088566,0.823180972147025,0.810920854301016,0.798840669098505,0.786998449465618,0.775440995947496,0.764204913500998,0.753318102315963,0.742801497523864,0.732670604182515,0.72293658345422,0.713606949006237,0.704685964705558,0.696174816329285,0.6880717635979,0.680372531480138,0.673070919049136,0.666159363187722,0.659629298534457,0.653471326417405,0.647675241675783,0.642229963681084,0.637123451612939,0.632342697534239,0.627873827400512,0.62370226534427,0.61981291828846,0.616190377240272,0.612819129297922,0.609683759544967,0.606769127382145
"11wk",0.559189145107059,0.658900389570212,0.730490380493339,0.786879440428827,0.831916923910907,0.867180216482667,0.894790696075607,0.915953680667249,0.931332554375347,0.941548471237388,0.947562829200593,0.950224052003546,0.950131309723903,0.947743932413967,0.943449931694641,0.937571350349485,0.930359855518929,0.922016202930829,0.91275050520436,0.902734562399361,0.892102500468759,0.880987018144738,0.869533983437263,0.857873905515288,0.846113924898561,0.834346574145598,0.82265596528642,0.811113061057701,0.79977500248344,0.788686815346158,0.777883375348884,0.767392022073519,0.757234583899736,0.747428440518984,0.737987501755276,0.728923495466819,0.720246683930317,0.711961221215177,0.704061937308012,0.696541982764046,0.689394939089474,0.682613986578789,0.676191705299287,0.670120675217642,0.66439362377997,0.65900224840351,0.653936157636515,0.649184432078629,0.644736558095408,0.640579910793056,0.636698473226357,0.633076154935747,0.629697570318875,0.626547360757395
"12wk",0.541118849686606,0.638320322850045,0.708764849628611,0.765818388980317,0.812765000941509,0.850651714536596,0.881244768994652,0.905485126402106,0.923876749263039,0.936777362071932,0.945287828193296,0.950343267270509,0.952550085959515,0.95236582385469,0.950171152672991,0.94627823475238,0.94093185180484,0.934319001414329,0.926645569175846,0.918083878946571,0.90874614555678,0.898734231489825,0.888246258334701,0.877431522496315,0.866396545151494,0.855241016809623,0.844064617036775,0.832950725386147,0.821965022528523,0.811161496627948,0.800578479564228,0.790247886786926,0.780198346055145,0.770454534224762,0.761032175844207,0.751945922308073,0.743212793733227,0.734847024028029,0.726840489259029,0.71918523294679,0.711880706607963,0.704924091437207,0.698306683215371,0.692024639433662,0.686078239332055,0.680461036637525,0.675163548469239,0.670174760197748,0.665486260839598,0.661091993155049,0.656973000467707,0.653111779566235,0.649498121743226,0.646127446180127
"13wk",0.524953878307829,0.619221531561594,0.688026410494424,0.745160583726841,0.793411853881295,0.833411827795216,0.866491320319864,0.893360189562814,0.914348196079454,0.929768334003337,0.940697723249683,0.948071890990278,0.952488749640306,0.954405704101416,0.954207526600276,0.952205840672339,0.948645473212149,0.94372610341555,0.937626924472847,0.930498505393027,0.922460559532174,0.913642168382341,0.904214626738011,0.89433522595614,0.884130920565369,0.873709956817863,0.863179746169926,0.852629472150129,0.842130892633226,0.831741965088866,0.821509646132416,0.81147298432624,0.801665519080613,0.792115413097522,0.782843908578835,0.773868225650316,0.765202796428059,0.756857332919909,0.748835874235614,0.741139159064852,0.733766774566792,0.726717683876889,0.719990590405641,0.713584631729592,0.707499822211182,0.701733330969751,0.696274944652105,0.691114313476158,0.68624235044551,0.681648766363445,0.677321000475818,0.673246056087805,0.669411769797013,0.665805133655986
"14wk",0.510450549860677,0.601514403585007,0.668315321123487,0.725064949616554,0.774129045228328,0.815777143526402,0.850899746370353,0.8799828249845,0.903218886323462,0.920957461488225,0.934182458588627,0.943774608461434,0.950299352162838,0.95420973198979,0.955908620777586,0.955714402644544,0.953875158305414,0.950593502589639,0.946037723471611,0.940343828276688,0.933629031738065,0.926026741532905,0.917701170139407,0.908815871966812,0.899512151271886,0.889912152048619,0.880123456115403,0.870237584146543,0.860329925663909,0.850462614833632,0.84068767059684,0.831049131295701,0.821584186351542,0.812323758162505,0.803293063359465,0.794512360984909,0.785997594304857,0.777760815141868,0.769810666840774,0.762153045828565,0.754791761396548,0.747729052307249,0.74096595843807,0.734502486492266,0.728337387790654,0.722467433711965,0.716886922955614,0.711588348981889,0.706563072032436,0.701801167502083,0.697291193897876,0.693020677453086,0.688976735637732,0.685146377877418
"15wk",0.497349297587801,0.585109286721197,0.64964617611468,0.705648799084201,0.755124931288585,0.798011316028757,0.834785869611575,0.865729967426353,0.890957500236732,0.910756840403214,0.926081115703998,0.937756241404794,0.946271197020216,0.952063256875754,0.955565852000884,0.957097296036434,0.956905825285404,0.955198118994556,0.952146736716843,0.947886737980258,0.942511870439249,0.936120502405051,0.928906291152583,0.921054681245867,0.912706200625881,0.903984085271082,0.895002703055737,0.885856294772227,0.87661973298125,0.867355064479909,0.858116790186589,0.848953070761448,0.839905149870319,0.83100762026209,0.822288614184806,0.813771062603163,0.805474035314055,0.797412906875957,0.789599445327361,0.782042851418258,0.774750257141291,0.767726013259065,0.760971894316646,0.75448855403816,0.748276629489156,0.742335945296276,0.736662325592507,0.731250222219125,0.726094389360923,0.721188087611529,0.71651998448527,0.712077168309932,0.707847416595712,0.703819059498259
"16wk",0.485481988740109,0.569918864328704,0.632016409117437,0.686995131153458,0.736539804383142,0.780319676832173,0.818400593479162,0.850882814755697,0.877837491072238,0.899444103322535,0.916660348778463,0.930254887658662,0.940621944807429,0.948207157500203,0.953428543668218,0.956601657697718,0.957973144923005,0.957753156656007,0.956124533557261,0.953234168755751,0.949165614294815,0.943980951787148,0.93790157035864,0.931132442060596,0.923792291513219,0.916004360368818,0.907893680609864,0.899555021643148,0.891060353410482,0.882466340579774,0.87383075346336,0.865208527286813,0.856643531948037,0.848173242571293,0.839828993893013,0.831635203598741,0.82361495877737,0.815788400344672,0.808167585692344,0.800763178155322,0.793588698218933,0.786650780383219,0.779949669494848,0.773485957847358,0.767262078459209,0.761282689138251,0.755545142708387,0.750044202866196,0.744778910063625,0.739749013596887,0.734941454226901,0.730342190691617,0.725941710636524,0.721732774675769
"17wk",0.474734713888362,0.555859460099694,0.615411892820499,0.669160375733133,0.718487155721812,0.762864234388309,0.801945712451069,0.835661459887503,0.86402897418972,0.887239033153589,0.906156818466459,0.921481734733567,0.933590937798653,0.9428722887496,0.949719860505312,0.954448616423505,0.957295746982819,0.958467740367423,0.958156128000019,0.956517136219338,0.95365884865649,0.949690862296006,0.944793836544098,0.939139525393095,0.932859077635899,0.926071063294591,0.918890320464624,0.91141192450663,0.903709852780454,0.895844581875639,0.887876268381229,0.879859527254542,0.871840125899863,0.86385709175083,0.85594429083187,0.848130996133312,0.840442966529455,0.832901663447366,0.825523407886966,0.818322037407898,0.811309254100045,0.804493643457528,0.797880935584029,0.791475325835831,0.785280216990359,0.779297931547794,0.773529082772613,0.767972890914264,0.762627837392919,0.757490603896859,0.752554437616502,0.747811116917437,0.743252735584794,0.738871645270384
"18wk",0.464992189589428,0.542851685043965,0.599811028104046,0.652180821764431,0.701058192687262,0.745774232500731,0.785584704426883,0.820261440518527,0.84979121102068,0.874379917088584,0.89480321864596,0.911701254891864,0.925418872872968,0.936269279297927,0.944634016728235,0.950834064059364,0.955079093877231,0.957560428377711,0.958487910530847,0.958041549552392,0.956361886643201,0.953585039203427,0.949862058998341,0.945337634895272,0.940135421776263,0.934367243814238,0.928141808814499,0.921553924269271,0.914680181147068,0.907585410328946,0.900328597061301,0.892962952545532,0.885534659313987,0.878083809314495,0.870647228310356,0.863257474803403,0.855942211926977,0.848724832132976,0.841625050265359,0.834659445692225,0.827841757440675,0.821182964276122,0.814691515083855,0.80837388004897,0.802234977875687,0.796278310405416,0.79050598040853,0.784918701666009,0.779515780233741,0.774295090924591,0.769253198045171,0.764385666121665,0.759687390571368,0.755152803634019
"19wk",0.456154798969994,0.530820697744676,0.585188038725768,0.636077169738724,0.684317903754071,0.729150659895721,0.769449572333094,0.804847861768714,0.835324753427359,0.861069638472474,0.882801288551771,0.901109613048135,0.916291129815424,0.928567386728912,0.938329247816407,0.945920022240773,0.951499843245663,0.955225247894089,0.957345270283866,0.958068689189719,0.957551023127421,0.955933456399854,0.953355572813858,0.949947205802799,0.94581837784743,0.94106298128265,0.935796105842478,0.930115315233187,0.924093643907812,0.917791744073546,0.911269550412283,0.904582679034238,0.897775715111881,0.890887869443938,0.883959282511733,0.877025177987076,0.870114588992178,0.863252507681285,0.856461258131866,0.849760222143304,0.843165878767418,0.836692060550266,0.830348655622994,0.824143832839281,0.818084406853268,0.812175687305324,0.80642143246214,0.800824119140926,0.795385054950092,0.79010424671581,0.7849805146601,0.780011985310029,0.775196419424232,0.770531019486086
"20wk",0.44811270961813,0.519696249351375,0.571515827548809,0.620857082723372,0.668315687982376,0.713070064241102,0.753645719470549,0.789550712710142,0.820770925499895,0.847470554456367,0.870319235659057,0.889855968233909,0.906331588763925,0.919895887401577,0.930938380481448,0.939827126426738,0.946681523656718,0.951609223349154,0.954901641348067,0.956783500390769,0.957409694900576,0.956919627398578,0.955448587739846,0.953120893477257,0.950036859957945,0.946279055816097,0.941965955358163,0.937197036997368,0.932038871907802,0.926539961131481,0.920764113330228,0.914773775561109,0.908611513534919,0.902312264635862,0.895918874630626,0.889469379118483,0.882992788184128,0.876514198676004,0.870059794057544,0.863651494055168,0.857307925006635,0.851044877635457,0.844874198453727,0.838805698103877,0.832848589646811,0.827010680359072,0.821297226867215,0.815712145557405,0.810259654284138,0.804942613434911,0.799760549400438,0.794713275732161,0.789801410828585,0.785026447731931
"21wk",0.440778937024353,0.509412614671348,0.558764863997928,0.60651637219034,0.65308319095643,0.697588613577207,0.738256440147253,0.774475228143124,0.806234029597442,0.833716715105665,0.857507112083984,0.878082315877823,0.895654139844755,0.910379726018906,0.922608289732632,0.932674522411664,0.940712806258175,0.946840366869995,0.951308093776185,0.954340316269061,0.956090241588986,0.956693331186163,0.956285066317782,0.954990646389543,0.952910874602544,0.950131563173648,0.946761892322981,0.942892556588519,0.938588262129391,0.933899551503455,0.928886935804146,0.923607460292188,0.918105190619028,0.912417217708888,0.906583324546595,0.900641620387891,0.89462343182537,0.88855655415476,0.882467425422426,0.87637960396701,0.870313430879818,0.864286239472728,0.858312576264593,0.852405002319974,0.846574768930089,0.840831804927307,0.835183421091935,0.829635637887142,0.824193902156541,0.818862752754368,0.813645062472087,0.808542777170141,0.80355805234896,0.79869266290115
"22wk",0.434088826309264,0.499908463918776,0.546893258383855,0.593040717038843,0.638627932766976,0.682745746957103,0.723347853897196,0.759710806800853,0.791831952371876,0.819932152398204,0.844504930586517,0.865955730182584,0.88447279775743,0.90021827654348,0.913521453331688,0.924673443040414,0.933820736860714,0.941098131182386,0.946716268685939,0.95087954724562,0.953729216046904,0.955389678911492,0.956002535514314,0.9557002287602,0.954590525936048,0.952767821859761,0.950324119036063,0.947340088350295,0.943880559320387,0.940001285819112,0.935756371103091,0.931196207003679,0.92636411219021,0.921298929505643,0.916039580443586,0.910623195673379,0.905082478997778,0.899446730747332,0.893743183383564,0.887996752672103,0.882229365823775,0.876460140560479,0.870706019223146,0.864982015921398,0.859301286133068,0.853675190845018,0.848113404704786,0.842624207308079,0.837214730953175,0.831891041872355,0.826658196019724,0.821520354965481,0.81648082428773,0.811541963394904
"23wk",0.427995333266581,0.491126699666866,0.535853700513305,0.580408496040016,0.624945136324451,0.668567952900834,0.708970921046284,0.745332243298157,0.77766972794072,0.806234370620367,0.831439317480878,0.853624614831332,0.872962736577235,0.889595388105894,0.903855561884476,0.916009314736775,0.926199495586323,0.934554201068393,0.941264252180381,0.946523298261725,0.95044505912562,0.953126370187434,0.954726649539121,0.955390546416985,0.955229341894601,0.954336238875912,0.952795511880381,0.950681701944111,0.948057808829095,0.944977860977884,0.941493211294577,0.937651866893172,0.933493816861192,0.929055191065066,0.924375971082257,0.919494978643677,0.914444443770097,0.909252321411012,0.903947436086252,0.898557568406193,0.89310611703901,0.88761274152609,0.882096504759416,0.876574746608173,0.871062469092751,0.865572614340055,0.860116760609894,0.85470514401882,0.849346725345281,0.844049309385619,0.838819717204176,0.833663933841165,0.828586967176395,0.823592806332422
