"","0wk","1wk","2wk","3wk","4wk","5wk","6wk","7wk","8wk","9wk","10wk","11wk","12wk","13wk","14wk","15wk","16wk","17wk","18wk","19wk","20wk","21wk","22wk","23wk","24wk","25wk","26wk","27wk","28wk","29wk","30wk","31wk","32wk","33wk","34wk","35wk","36wk","37wk","38wk","39wk","40wk","41wk","42wk","43wk","44wk","45wk","46wk","47wk","48wk","49wk","50wk","51wk","52wk","53wk"
"14wk",0.523467104814054,0.592009285145781,0.658105550175326,0.718648920663066,0.770802097150797,0.814152258111857,0.850008582770267,0.879349579683485,0.902707016982058,0.920563668159354,0.933907425324,0.943612270078037,0.950235252417915,0.954208629295033,0.955908620777586,0.955640127322714,0.953651850986816,0.950156681547475,0.945335870099923,0.939336538046548,0.932283706109757,0.924317515632769,0.915611311735547,0.906335716925644,0.896635566613812,0.886635461456819,0.876447227835561,0.866168389776291,0.855880941251018,0.845653356381164,0.835543290460633,0.825599509322713,0.815862992003199,0.806367697392178,0.797141355333296,0.788206350457585,0.779580475899105,0.771277460728315,0.763307432636161,0.755677369276257,0.748391381012729,0.741450711489523,0.734853699352094,0.728596303138997,0.72267265834013,0.717075004771721,0.711793650870791,0.706817618218533,0.702135211780526,0.697733917851263,0.693600183670633,0.689719799618263,0.686078378642115,0.682661537361902
"15wk",0.510077405397825,0.574550606665465,0.638494608769498,0.698795548229613,0.751736080464753,0.796507128690861,0.834063034663978,0.86524709217076,0.890553166866267,0.910455387069164,0.925887891691063,0.93766379587714,0.946274715886298,0.952134548774046,0.955640127322714,0.957097296036434,0.956753741491561,0.954823367709031,0.951490400388104,0.946903380110515,0.941169498432993,0.934397512408357,0.926789867096498,0.918531997991321,0.90976472855251,0.900607986414593,0.89118320170242,0.881593899888703,0.871924705203068,0.862245879842257,0.852617812510545,0.843092951565066,0.833716037275304,0.824524775723172,0.815550526579874,0.806819355131137,0.798353039028586,0.79016907911832,0.782280677886749,0.77469814083286,0.767429666555221,0.760480074827039,0.753848720697865,0.747531900650148,0.7415254886645,0.735824023374177,0.73041902279162,0.72530118268425,0.720461839235431,0.715891691686491,0.711578070427311,0.707507455367854,0.703667214192536,0.700045115349407
"16wk",0.497903419055615,0.558342984560017,0.619962348906858,0.679756944986633,0.733160030972357,0.778998816428202,0.817907416008459,0.850615114912354,0.87760835863575,0.899305162741009,0.91661952559697,0.930307371588795,0.940776898306135,0.948426315356176,0.953651850986816,0.956753741491561,0.957973144923005,0.957524451819413,0.955601813717246,0.952367006000707,0.947923568975767,0.942346879022662,0.935861153609677,0.92866596882346,0.920884169553312,0.912629733868233,0.90403258399128,0.895200970964873,0.886220713753944,0.877160143019043,0.868081895994319,0.859044370632855,0.85009532503079,0.84127552282771,0.832619923835506,0.824157106832951,0.815913154985979,0.807910884298268,0.800163545993952,0.792682502214468,0.785482326352988,0.778572944144208,0.771952035168009,0.765615359659052,0.759563154113623,0.753795972776597,0.748302794465653,0.743074387070116,0.738105814594963,0.73339267019013,0.72892147368253,0.724679163722053,0.72065765757098,0.716849588824306
"17wk",0.486820736770936,0.543303522254437,0.602501319946888,0.661580420838133,0.715173895883625,0.761776442703003,0.801733164691161,0.835668434209172,0.864052727786708,0.887326227037319,0.906331503216453,0.921748968832198,0.933954969606491,0.943299196082575,0.950156681547475,0.954823367709031,0.957524451819413,0.958467740367423,0.957858278188865,0.955871192056714,0.952634036002822,0.948265614583,0.942945983863242,0.936846863230744,0.930093950020763,0.922802632835844,0.915097052421763,0.907084127810683,0.898850875256624,0.890469461897438,0.88200643137973,0.873521475318556,0.865065467347638,0.856681929726442,0.848409104846055,0.84027995522382,0.832323159867018,0.824562483943759,0.81701576721785,0.809697847342373,0.802621551115179,0.79579608910278,0.789225431115099,0.782911034277854,0.776853356431306,0.771050931307649,0.7654994774979,0.760193654149939,0.755127981749023,0.750296034770075,0.745689506779632,0.741299365745377,0.737116682109776,0.733131936840275
"18wk",0.476719756628424,0.529352972087669,0.586079259960043,0.644292808007673,0.697852235759601,0.744957925524695,0.785691822854125,0.820588603874699,0.850120170953131,0.874744202613394,0.895240891932733,0.912225880048112,0.926032221024407,0.936948101885387,0.945335870099923,0.951490400388104,0.955601813717246,0.957858278188865,0.958487910530847,0.957693409918129,0.955631763995634,0.952446566489806,0.94828916384214,0.943300943537827,0.937600978899895,0.931302530235381,0.924522996641403,0.917368299034565,0.90992598604648,0.902270758966057,0.894470872336365,0.886587951075184,0.878675483826506,0.870779659012428,0.862941549465555,0.855196957530315,0.847576245698453,0.840104790370623,0.832803540826874,0.825689710090892,0.818777150864583,0.812076352134868,0.805594625712148,0.799336702359918,0.793305183320574,0.787500657338998,0.781921826808327,0.776565825787819,0.771428550268573,0.766504843976204,0.761788616226453,0.757272975346168,0.752950310936252,0.74881229231161
"19wk",0.467507853006505,0.516416198087475,0.570664291582265,0.627905955150319,0.681245604711237,0.728631825116161,0.769903216437059,0.805524468285535,0.835990247608261,0.861745817173955,0.883535224894693,0.901922087723748,0.917187504380998,0.929532946060969,0.939336538046548,0.946903380110515,0.952367006000707,0.955871192056714,0.957693409918129,0.958068689189719,0.957167261759095,0.955136886334458,0.952117560029739,0.948235252032262,0.943593594551929,0.938288324958817,0.932444379748952,0.92617102005963,0.919551293198677,0.912653008630022,0.905547696921964,0.89830226403544,0.890971465719189,0.883602062776999,0.876237833586506,0.868916905260851,0.861671175398619,0.854527623006631,0.847508929677684,0.840634310988446,0.833919937937737,0.827378614984347,0.821019297330422,0.814849243114124,0.808874293281952,0.803098111785905,0.797521595454754,0.792143467349683,0.786961404598534,0.781972302945155,0.777172055852681,0.772555797717529,0.768118338916548,0.763853977426511
"20wk",0.459094742564631,0.504422378414605,0.556229566480662,0.612419810643893,0.665388678987893,0.712863196279082,0.75446137497632,0.79059278956116,0.821787152516495,0.848478923148874,0.871371866766196,0.890979234351334,0.907538867160352,0.921178223466876,0.932283706109757,0.941169498432993,0.947923568975767,0.952634036002822,0.955631763995634,0.957167261759095,0.957409694900576,0.956504934493782,0.954588901893375,0.951782976301439,0.948179803670844,0.94385927109319,0.938953332248755,0.933573564609322,0.927797159292494,0.921677524015569,0.915289263742591,0.908709962411945,0.90199400300403,0.895185576194164,0.888330467876934,0.881469583785359,0.874635599026914,0.867855989137804,0.861155833270425,0.854556264961404,0.848075731097859,0.841728849831998,0.835525989342827,0.829476348930789,0.82358975879898,0.817874425377322,0.812332297019849,0.80696146438453,0.801762821371207,0.796736115776276,0.791878275004937,0.78718594916641,0.782657088478438,0.778289105820213
"21wk",0.451411215879006,0.493305056620692,0.542748640719418,0.597823711842104,0.650301695404992,0.697698620785783,0.739439514923438,0.775889069225733,0.807609614129639,0.835068097874888,0.858891883754116,0.879534667011281,0.89719418566729,0.912010947200624,0.924317515632769,0.934397512408357,0.942346879022662,0.948265614583,0.952446566489806,0.955136886334458,0.956504934493782,0.956693331186163,0.955837372614637,0.954058508288488,0.951453729853031,0.948109331896861,0.944142655698502,0.939655008157781,0.934720642984987,0.929396131607534,0.923754265406741,0.917867709016558,0.911793133355724,0.90557729611685,0.899264770210365,0.892896634769666,0.886507359454954,0.880126705114233,0.873780814630721,0.867492488542214,0.861281441452675,0.855164511666347,0.849154955255249,0.843264461500265,0.837504035569399,0.831883085454279,0.82640535376399,0.821072882033556,0.815887450409393,0.810850002802615,0.805960026246542,0.80121637938099,0.796618059069637,0.792162941140503
"22wk",0.444396412527415,0.483002099467262,0.530166065480753,0.584098305101043,0.635989498494421,0.683169952176452,0.724895859751495,0.761494962243441,0.793567955019726,0.8216300947096,0.846226718887542,0.867744856809924,0.886359528046066,0.902216451640745,0.915611311735547,0.926789867096498,0.935861153609677,0.942945983863242,0.94828916384214,0.952117560029739,0.954588901893375,0.955837372614637,0.956002535514314,0.95521343914966,0.953576789247107,0.951189375182549,0.948149759558017,0.94454632087857,0.940451325719799,0.935929426677114,0.931047762739347,0.925871607336888,0.920457574596347,0.914854602487633,0.909107541663194,0.903257088007765,0.897338782134853,0.891383736352993,0.885419599078638,0.879470891544422,0.873559001871697,0.867702279097657,0.861916416660477,0.856215063747199,0.850610016175544,0.845110798333613,0.839724367508313,0.834455735195726,0.829308558665329,0.824285283077479,0.819387241483892,0.814614894175902,0.80996789494395,0.805444743648161
"23wk",0.437993302230369,0.47345558853353,0.518427860653507,0.57121855823265,0.622444730533791,0.669297504977402,0.710874725835064,0.747478391384021,0.779758411625183,0.808273478576148,0.833495194784722,0.85574926017331,0.875197129536775,0.891965307031017,0.906335716925644,0.918531997991321,0.92866596882346,0.936846863230744,0.943300943537827,0.948235252032262,0.951782976301439,0.954058508288488,0.95521343914966,0.955390546416985,0.954702625174213,0.95324737100763,0.951115138116524,0.948386274258258,0.945128673389841,0.941404463344567,0.93727969184738,0.932818254675994,0.92807428511597,0.923095109478284,0.917926185304051,0.912609295947732,0.90718012327177,0.901669589695348,0.896106885750382,0.890518790910846,0.884928256417238,0.87935469891298,0.873815176009873,0.868324931407484,0.862897142292793,0.857542815743769,0.852270936823788,0.847088689529726,0.842001994308303,0.837015295258196,0.832130995738401,0.827350640646413,0.822675507589001,0.818106333596739
